,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Cont.,0.3057574858913701,0.23723692593033427,0.142615438069224,0.10185824332339198,0.07348099227083559,0.04837649212713195,0.0305676525691946,0.029355494731944275,0.018859704584214543,0.011891570502358626
Cum.,0.3057574858913701,0.5429944118217044,0.6856098498909284,0.7874680932143204,0.860949085485156,0.9093255776122879,0.9398932301814825,0.9692487249134268,0.9881084294976414,1.0
Dev.,1.7281401756934942,1.5222345026900448,1.1802491261364725,0.9974439681858526,0.847184348211576,0.687396955379503,0.5464135515161618,0.5354699693535161,0.4291981687191396,0.34080819167298454
